Id;family;genus;species;taxonomic.rank;taxon;LME;FAO;habitat;reference.habitat;feeding.mode;reference.feeding.mode;tl;level.tl;reference.tl;body.shape;fin.shape;AR;level.AR;reference.AR;offspring.size;level.offspring.size;reference.offspring.size;spawning.type;reference.spawning.type;age.maturity;level.age.maturity;reference.age.maturity;fecundity;level.fecundity;reference.fecundity;length.infinity;growth.coefficient;level.growth;reference.growth;length.max;level.length.max;reference.length.max;age.max;level.age.max;reference.age.max
27;Acropomatidae;Synagrops;spinosus;S;Synagrops spinosus;6;21;bathydemersal;FroesePauly2018, OBIS2018;generalist;inferred from genus;3.72;genus;FroesePauly2018;fusiform;forked;1.73;spe;FroesePauly2018;;;;non-guarder;inferred from genus;;;;38321;fam;Baeck2012;31;0.35;fam-ocean;FroesePauly2018;13;spe;FroesePauly2018;;;
28;Acropomatidae;Synagrops;spinosus;S;Synagrops spinosus;6;31;bathydemersal;FroesePauly2018, OBIS2018;generalist;inferred from genus;3.72;genus;FroesePauly2018;fusiform;forked;1.73;spe;FroesePauly2018;;;;non-guarder;inferred from genus;;;;38321;fam;Baeck2012;31;0.35;fam-ocean;FroesePauly2018;13;spe;FroesePauly2018;;;
29;Acropomatidae;Synagrops;spinosus;S;Synagrops spinosus;7;21;bathydemersal;FroesePauly2018, OBIS2018;generalist;inferred from genus;3.72;genus;FroesePauly2018;fusiform;forked;1.73;spe;FroesePauly2018;;;;non-guarder;inferred from genus;;;;38321;fam;Baeck2012;31;0.35;fam-ocean;FroesePauly2018;13;spe;FroesePauly2018;;;
30;Acropomatidae;Synagrops;;G;Synagrops;5;31;bathydemersal;FroesePauly2018, OBIS2018;generalist;inferred from genus;3.72;genus;FroesePauly2018;fusiform;forked;1.73;gen;FroesePauly2018;;;;non-guarder;inferred from genus;;;;38321;fam;Baeck2012;31;0.35;fam-ocean;FroesePauly2018;16;gen;FroesePauly2018;;;
31;Agonidae;Agonopsis;sterletus;S;Agonopsis sterletus;3;67;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;1.08;gen;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-LME;FroesePauly2018;15;spe;FroesePauly2018;7;fam;FroesePauly2018
32;Agonidae;Agonopsis;sterletus;S;Agonopsis sterletus;3;77;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;1.08;gen;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-LME;FroesePauly2018;15;spe;FroesePauly2018;7;fam;FroesePauly2018
33;Agonidae;Agonopsis;vulsa;S;Agonopsis vulsa;1;61;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;1;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;16;0.33;fam-ocean;FroesePauly2018;20;spe;FroesePauly2018;7;fam;FroesePauly2018
34;Agonidae;Agonopsis;vulsa;S;Agonopsis vulsa;1;67;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;1;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-FAO;FroesePauly2018;20;spe;FroesePauly2018;7;fam;FroesePauly2018
35;Agonidae;Agonopsis;vulsa;S;Agonopsis vulsa;2;67;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;1;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-FAO;FroesePauly2018;20;spe;FroesePauly2018;7;fam;FroesePauly2018
36;Agonidae;Agonopsis;vulsa;S;Agonopsis vulsa;3;67;demersal;FroesePauly2018, OBIS2018;generalist;inferred from family;3.24;family;FroesePauly2018;elongated;rounded;1;spe;FroesePauly2018;1.87;fam;FroesePauly2018;non-guarder;FroesePauly2018;4.7;fam-ocean;FroesePauly2019;1873;fam-ocean;FroesePauly2018;19;0.46;fam-LME;FroesePauly2018;20;spe;FroesePauly2018;7;fam-ocean;FroesePauly2018
